cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000112,970.863603940471,9658.086843564957,6.55930720278301
CELL_000113,897.0219217528654,9658.086843564957,6.55930720278301
CELL_000114,828.6764983934129,9658.086843564957,6.55930720278301
CELL_000115,765.7557080807089,9658.086843564957,6.55930720278301
CELL_000116,708.7270447966314,9658.086843564957,6.55930720278301
CELL_000117,661.5983997552495,9658.086843564957,6.55930720278301
CELL_000118,627.0014841237908,9658.086843564957,6.55930720278301
CELL_000119,605.9993676297871,9658.086843564957,6.55930720278301
CELL_000120,599.9036936197247,9658.086843564957,6.55930720278301
CELL_000121,610.0186038134198,9658.086843564957,6.55930720278301
CELL_000122,634.7384405064062,9658.086843564957,6.55930720278301
CELL_000123,673.545157145138,9658.086843564957,6.55930720278301
CELL_000124,706.2691357060966,3504.816679479516,-48.70085355331917
CELL_000125,1439.7399525605535,9658.086843564957,6.55930720278301
CELL_000126,1347.7521945828166,9658.086843564957,6.55930720278301
CELL_000127,1256.3869502064263,9658.086843564957,6.55930720278301
CELL_000128,1166.43917942431,9658.086843564957,6.55930720278301
CELL_000129,1078.2636736638713,9658.086843564957,6.55930720278301
CELL_000130,992.3329786859379,9658.086843564957,6.55930720278301
CELL_000131,909.2837462718,9658.086843564957,6.55930720278301
CELL_000132,829.9813985155362,9658.086843564957,6.55930720278301
CELL_000133,755.6065858146229,9658.086843564957,6.55930720278301
CELL_000134,687.6158933399925,9658.086843564957,6.55930720278301
CELL_000135,625.9031870360496,9658.086843564957,6.55930720278301
CELL_000136,571.9918659098621,9658.086843564957,6.55930720278301
CELL_000137,531.5948769497124,9658.086843564957,6.55930720278301
CELL_000138,507.2314521354343,9658.086843564957,6.55930720278301
CELL_000139,499.9329495903508,9658.086843564957,6.55930720278301
CELL_000140,511.76162191888756,9658.086843564957,6.55930720278301
CELL_000141,540.989970819763,9658.086843564957,6.55930720278301
CELL_000142,585.5352569817246,9658.086843564957,6.55930720278301
CELL_000143,609.5950586245693,3504.816679479516,-48.70085355331917
CELL_000144,19346.845995147938,21658.493753340324,23.797400912794288
CELL_000145,19250.89698647748,21658.493753340324,23.797400912794288
CELL_000146,19154.989418110526,21658.493753340324,23.797400912794288
CELL_000147,18389.298469484256,21658.493753340324,23.797400912794288
CELL_000148,1401.2179749699453,9658.086843564957,6.55930720278301
CELL_000149,1308.20625958542,9658.086843564957,6.55930720278301
CELL_000150,1216.304000591602,9658.086843564957,6.55930720278301
CELL_000151,1124.6337862052935,9658.086843564957,6.55930720278301
CELL_000152,1032.8956112403187,9658.086843564957,6.55930720278301
CELL_000153,942.8390819037755,9658.086843564957,6.55930720278301
CELL_000154,854.9957456105332,9658.086843564957,6.55930720278301
CELL_000155,770.1233119818436,9658.086843564957,6.55930720278301
CELL_000156,689.3200318458132,9658.086843564957,6.55930720278301
CELL_000157,614.194022235172,9658.086843564957,6.55930720278301
CELL_000158,546.6038571632597,9658.086843564957,6.55930720278301
CELL_000159,486.45343741652744,9658.086843564957,6.55930720278301
CELL_000160,438.241218175012,9658.086843564957,6.55930720278301
CELL_000161,409.05738739181515,9658.086843564957,6.55930720278301
CELL_000162,399.976832519797,9658.086843564957,6.55930720278301
